"","X","Month","Longitude","Latitude","hours","minutes","crime"
"59",59,2006-12-28,81.715833,25.496854,8,37,"Chain"
"60",60,2009-12-10,81.712618,25.49701,16,48,"Rape"
"61",61,2009-10-03,81.721482,25.498496,9,45,"Violence and Offence"
"62",62,2010-10-07,81.715093,25.493982,5,56,"Pick"
"63",63,2012-10-28,81.71936,25.49324,0,40,"Robery"
"64",64,2005-08-22,81.72125,25.498018,8,28,"Robery"
"65",65,2011-03-16,81.71936,25.49324,21,31,"Pick"
"66",66,2006-07-14,81.71936,25.49324,10,33,"Chain"
"67",67,2005-09-01,81.71936,25.49324,5,33,"Robery"
"68",68,2010-02-17,81.723926,25.491799,8,6,"Murder"
"69",69,2009-05-13,81.722952,25.492269,21,37,"Rape"
"70",70,2008-02-18,81.728765,25.491071,7,45,"Rape"
"71",71,2011-01-29,81.727173,25.492255,6,11,"Violence and Offence"
"72",72,2010-12-15,81.723926,25.491799,15,37,"Pick"
"73",73,2006-07-26,81.722841,25.489625,15,8,"Chain"
"74",74,2009-06-13,81.728301,25.491643,0,2,"Pick"
"75",75,2006-11-29,81.724998,25.490279,19,18,"Rape"
"76",76,2007-07-22,81.724998,25.490279,20,34,"Robery"
"77",77,2011-05-10,81.728765,25.491071,19,27,"Robery"
"78",78,2006-01-03,81.728765,25.491071,16,33,"Hit And Run"
"79",79,2005-08-14,81.722952,25.492269,19,39,"Rape"
"80",80,2010-04-11,81.728765,25.491071,22,12,"Robery"
"81",81,2009-01-22,81.725752,25.495363,7,0,"Robery"
"82",82,2011-01-08,81.723926,25.491799,15,12,"Robery"
"83",83,2011-06-12,81.728765,25.491071,18,22,"Kidnap"
"84",84,2012-02-15,81.725752,25.495363,19,28,"Rape"
"85",85,2006-09-01,81.727173,25.492255,16,40,"Hit And Run"
"86",86,2005-11-17,81.727173,25.492255,14,23,"Robery"
"87",87,2013-10-12,81.723926,25.491799,9,48,"Pick"
"88",88,2007-06-11,81.723926,25.491799,14,35,"Hit And Run"
"89",89,2012-07-30,81.728301,25.491643,13,41,"Rape"
"90",90,2005-12-25,81.72307,25.49022,8,38,"Kidnap"
"91",91,2007-01-31,81.725341,25.492628,15,49,"Murder"
"92",92,2011-09-29,81.722952,25.492269,12,49,"Robery"
"93",93,2005-04-22,81.729494,25.490797,19,35,"Violence and Offence"
"94",94,2012-06-25,81.723926,25.491799,11,0,"Pick"
"95",95,2014-10-19,81.729494,25.490797,12,23,"Pick"
"96",96,2014-03-25,81.727173,25.492255,13,41,"Violence and Offence"
"97",97,2006-02-23,81.724443,25.494527,8,38,"Rape"
"98",98,2013-08-25,81.728301,25.491643,7,26,"Kidnap"
"99",99,2009-10-18,81.728301,25.491643,13,57,"Murder"
"100",100,2010-11-26,81.733914,25.48985,4,54,"Chain"
"101",101,2015-04-06,81.722841,25.489625,12,11,"Robery"
"102",102,2005-02-28,81.716663,25.484474,8,14,"Hit And Run"
"103",103,2010-10-25,81.710446,25.495646,19,40,"Murder"
"104",104,2011-01-28,81.711761,25.494757,19,1,"Kidnap"
"105",105,2011-10-23,81.716663,25.484474,0,35,"Pick"
"106",106,2012-02-12,81.710446,25.495646,0,8,"Pick"
"107",107,2015-09-26,81.716663,25.484474,9,48,"Violence and Offence"
"108",108,2010-04-22,81.716663,25.484474,11,57,"Murder"
"109",109,2007-04-10,81.716663,25.484474,21,40,"Pick"
"110",110,2013-09-04,81.71574,25.489735,7,8,"Robery"
"111",111,2005-06-11,81.718515,25.490339,3,18,"Rape"
"112",112,2013-02-21,81.713,25.496042,3,43,"Robery"
"113",113,2007-01-03,81.713,25.496042,9,16,"Pick"
"114",114,2014-06-06,81.708446,25.495406,4,24,"Murder"
"115",115,2011-04-09,81.716663,25.484474,3,31,"Murder"
"116",116,2009-02-19,81.708446,25.495406,2,27,"Violence and Offence"
"117",117,2005-09-16,81.716663,25.484474,13,41,"Chain"
"118",118,2011-08-16,81.708892,25.494277,8,11,"Pick"
"119",119,2012-06-22,81.707201,25.495109,8,41,"Violence and Offence"
"120",120,2010-12-29,81.710383,25.494342,19,35,"Rape"
"121",121,2013-08-15,81.708446,25.495406,20,1,"Violence and Offence"
"122",122,2009-06-30,81.710383,25.494342,4,14,"Murder"
"123",123,2011-01-27,81.716663,25.484474,3,8,"Violence and Offence"
"124",124,2015-08-21,81.718515,25.490339,5,13,"Kidnap"
"125",125,2007-11-21,81.710383,25.494342,13,31,"Pick"
"126",126,2011-10-27,81.695626,25.49078,18,40,"Kidnap"
"127",127,2005-07-27,81.701432,25.488504,1,54,"Rape"
"128",128,2007-02-28,81.701432,25.488504,0,19,"Murder"
"129",129,2013-06-22,81.70486,25.487451,11,32,"Rape"
"130",130,2009-02-19,81.700273,25.487732,9,28,"Hit And Run"
"131",131,2015-05-27,81.700273,25.487732,12,40,"Murder"
"132",132,2009-05-04,81.696911,25.487778,0,10,"Rape"
"133",133,2014-04-12,81.694829,25.48716,13,5,"Kidnap"
"134",134,2007-06-04,81.700273,25.487732,14,14,"Robery"
"135",135,2015-01-23,81.696911,25.487778,1,9,"Kidnap"
"136",136,2008-02-07,81.690441,25.48799,22,9,"Pick"
"137",137,2015-07-08,81.696911,25.487778,2,6,"Robery"
"138",138,2012-07-16,81.699637,25.486441,1,14,"Murder"
"139",139,2006-01-31,81.700273,25.487732,11,17,"Kidnap"
"140",140,2015-04-16,81.699026,25.485385,15,44,"Pick"
"141",141,2008-06-23,81.699026,25.485385,22,33,"Robery"
"142",142,2015-10-12,81.695334,25.488944,1,6,"Violence and Offence"
"143",143,2010-03-13,81.700273,25.487732,9,16,"Murder"
"144",144,2014-09-16,81.692733,25.487234,20,44,"Murder"
"145",145,2010-10-18,81.692733,25.487234,0,41,"Violence and Offence"
"146",146,2005-10-23,81.700273,25.487732,15,19,"Hit And Run"
"147",147,2009-05-28,81.700273,25.487732,22,51,"Pick"
"148",148,2011-08-10,81.700273,25.487732,1,1,"Robery"
"149",149,2011-04-22,81.700273,25.487732,1,41,"Chain"
"150",150,2008-05-29,81.700273,25.487732,18,51,"Murder"
"151",151,2012-01-03,81.700273,25.487732,1,0,"Rape"
"152",152,2010-12-30,81.700273,25.487732,13,22,"Hit And Run"
"153",153,2005-07-21,81.700273,25.487732,19,16,"Murder"
"154",154,2011-12-11,81.694829,25.48716,15,56,"Murder"
"155",155,2006-09-29,81.694829,25.48716,7,35,"Pick"
"156",156,2007-05-25,81.712998,25.488923,12,16,"Rape"
"157",157,2005-10-31,81.712998,25.488923,22,46,"Murder"
"158",158,2010-03-24,81.708671,25.483956,14,3,"Robery"
"159",159,2012-08-21,81.713848,25.485038,13,45,"Chain"
"160",160,2007-10-12,81.703834,25.49254,4,2,"Hit And Run"
"161",161,2009-02-14,81.707432,25.493475,16,26,"Rape"
"162",162,2007-09-09,81.704453,25.493192,18,52,"Chain"
"163",163,2015-06-30,81.707878,25.493056,12,5,"Kidnap"
"164",164,2009-11-01,81.705131,25.493952,8,16,"Kidnap"
"165",165,2011-10-13,81.708503,25.496315,0,37,"Hit And Run"
"166",166,2007-10-22,81.717741,25.502244,12,54,"Pick"
"167",167,2010-06-11,81.713279,25.502939,11,58,"Rape"
"168",168,2014-04-17,81.708101,25.49819,13,6,"Pick"
"169",169,2012-05-04,81.709871,25.497179,15,53,"Robery"
"170",170,2008-03-16,81.709871,25.497179,21,35,"Chain"
"171",171,2005-04-02,81.71358,25.499319,5,45,"Violence and Offence"
"172",172,2009-12-03,81.706101,25.49582,8,34,"Robery"
"173",173,2013-10-27,81.709264,25.501722,4,9,"Robery"
"174",174,2009-05-06,81.703928,25.500217,5,19,"Chain"
"175",175,2005-03-06,81.706101,25.49582,7,2,"Pick"
"176",176,2008-10-06,81.710569,25.468869,5,15,"Kidnap"
"177",177,2006-02-08,81.712071,25.468377,18,24,"Kidnap"
"178",178,2013-01-26,81.70422,25.472777,2,17,"Pick"
"179",179,2010-07-16,81.712071,25.468377,20,4,"Hit And Run"
"180",180,2007-12-23,81.70422,25.472777,8,58,"Chain"
"181",181,2009-12-03,81.693404,25.47203,9,58,"Pick"
"182",182,2005-07-07,81.70422,25.472777,11,50,"Hit And Run"
"183",183,2010-01-10,81.712071,25.468377,17,23,"Rape"
"184",184,2015-07-14,81.710261,25.477137,22,51,"Pick"
"185",185,2014-04-21,81.70422,25.472777,17,2,"Violence and Offence"
"186",186,2005-05-24,81.7097,25.468656,18,18,"Chain"
"187",187,2015-04-16,81.710569,25.468869,2,8,"Rape"
"188",188,2012-09-09,81.704114,25.474232,9,38,"Kidnap"
"189",189,2010-06-17,81.712071,25.468377,4,38,"Hit And Run"
"190",190,2007-11-08,81.7097,25.468656,13,36,"Chain"
"191",191,2011-05-27,81.707152,25.475936,17,14,"Murder"
"192",192,2015-06-18,81.709947,25.475588,10,54,"Pick"
"193",193,2011-12-13,81.701969,25.474513,17,27,"Pick"
"194",194,2013-10-08,81.7097,25.468656,16,52,"Chain"
"195",195,2008-11-23,81.712071,25.468377,5,34,"Violence and Offence"
"196",196,2013-09-09,81.70543,25.473991,10,28,"Hit And Run"
"197",197,2013-10-26,81.713579,25.468316,10,35,"Rape"
"198",198,2011-08-30,81.709271,25.463233,9,30,"Rape"
"199",199,2009-06-29,81.714515,25.473267,12,58,"Rape"
"200",200,2014-09-20,81.713579,25.468316,13,56,"Robery"
"201",201,2009-01-08,81.711234,25.473845,21,29,"Rape"
"202",202,2014-09-18,81.712071,25.468377,6,16,"Pick"
"203",203,2010-03-21,81.714515,25.473267,20,34,"Chain"
"204",204,2009-04-14,81.718358,25.470329,8,52,"Chain"
"205",205,2011-05-30,81.718358,25.470329,15,19,"Murder"
"206",206,2015-02-01,81.718358,25.470329,7,42,"Kidnap"
"207",207,2015-02-24,81.718358,25.470329,6,43,"Rape"
"208",208,2006-08-31,81.718358,25.470329,8,5,"Robery"
"209",209,2011-04-11,81.718358,25.470329,19,2,"Murder"
"210",210,2005-02-25,81.712175,25.469915,22,1,"Chain"
"211",211,2012-08-05,81.718358,25.470329,17,56,"Rape"
"212",212,2010-02-19,81.718358,25.470329,4,34,"Violence and Offence"
"213",213,2012-05-02,81.718998,25.469975,2,48,"Kidnap"
"214",214,2014-09-16,81.718358,25.470329,19,53,"Murder"
"215",215,2015-10-31,81.718358,25.470329,18,0,"Murder"
"216",216,2009-01-13,81.722003,25.471812,2,43,"Violence and Offence"
"217",217,2012-04-27,81.722003,25.471812,8,25,"Murder"
"218",218,2015-07-15,81.718358,25.470329,18,40,"Rape"
"219",219,2005-10-19,81.712175,25.469915,6,16,"Robery"
"220",220,2010-01-19,81.718358,25.470329,16,58,"Hit And Run"
"221",221,2006-03-31,81.718998,25.469975,13,48,"Violence and Offence"
"222",222,2011-09-30,81.718358,25.470329,3,3,"Violence and Offence"
"223",223,2005-12-19,81.71259,25.470934,10,27,"Murder"
"224",224,2015-03-08,81.718358,25.470329,14,42,"Violence and Offence"
"225",225,2008-12-29,81.713539,25.468793,16,49,"Chain"
"226",226,2007-05-12,81.724106,25.46994,4,52,"Hit And Run"
"227",227,2007-10-28,81.718358,25.470329,16,54,"Murder"
"228",228,2009-10-01,81.712739,25.471762,21,56,"Murder"
"229",229,2007-07-12,81.724106,25.46994,20,12,"Rape"
"230",230,2014-11-08,81.724106,25.46994,0,47,"Pick"
"231",231,2007-03-22,81.718358,25.470329,19,4,"Kidnap"
"232",232,2005-11-07,81.71872,25.471033,6,17,"Violence and Offence"
"233",233,2013-11-03,81.718358,25.470329,5,14,"Hit And Run"
"234",234,2005-04-07,81.713539,25.468793,20,55,"Pick"
"235",235,2008-12-22,81.725087,25.479359,20,9,"Rape"
"236",236,2010-04-22,81.722667,25.478352,9,17,"Rape"
"237",237,2008-11-02,81.722667,25.478352,15,4,"Rape"
"238",238,2010-12-26,81.722667,25.478352,12,6,"Hit And Run"
"239",239,2008-03-22,81.720327,25.481436,10,17,"Pick"
"240",240,2014-10-27,81.717152,25.479795,1,23,"Murder"
"241",241,2007-08-29,81.722667,25.478352,8,18,"Hit And Run"
"242",242,2008-12-07,81.722667,25.478352,5,46,"Chain"
"243",243,2007-07-14,81.723303,25.475966,13,4,"Chain"
"244",244,2008-06-22,81.722667,25.478352,16,52,"Murder"
"245",245,2009-09-14,81.722667,25.478352,19,52,"Rape"
"246",246,2012-02-05,81.719126,25.481238,16,2,"Rape"
"247",247,2014-12-26,81.722667,25.478352,10,1,"Kidnap"
"248",248,2011-09-16,81.717152,25.479795,11,14,"Chain"
"249",249,2008-01-29,81.720913,25.480793,4,21,"Hit And Run"
"250",250,2008-07-02,81.720913,25.480793,16,7,"Robery"
"251",251,2010-10-02,81.720913,25.480793,15,25,"Rape"
"252",252,2013-08-17,81.72269,25.481615,4,28,"Rape"
"253",253,2013-10-12,81.721189,25.481325,5,48,"Violence and Offence"
"254",254,2011-07-10,81.725087,25.479359,7,32,"Violence and Offence"
"255",255,2009-11-12,81.721862,25.478616,4,57,"Murder"
"256",256,2006-08-17,81.71711,25.480361,9,36,"Chain"
"257",257,2015-10-16,81.719126,25.481238,6,32,"Pick"
"258",258,2013-02-28,81.723303,25.475966,14,31,"Pick"
"259",259,2012-04-07,81.71711,25.480361,11,47,"Robery"
"260",260,2007-10-07,81.715849,25.484468,19,21,"Hit And Run"
"261",261,2013-08-26,81.715849,25.484468,12,19,"Hit And Run"
"262",262,2011-06-01,81.711337,25.481891,17,16,"Kidnap"
"263",263,2013-08-13,81.715849,25.484468,18,58,"Chain"
"264",264,2012-04-10,81.715849,25.484468,19,53,"Murder"
"265",265,2007-11-05,81.713333,25.482256,11,7,"Hit And Run"
"266",266,2012-09-27,81.707801,25.482341,9,28,"Hit And Run"
"267",267,2015-12-21,81.715849,25.484468,4,54,"Chain"
"268",268,2014-06-13,81.715849,25.484468,21,23,"Hit And Run"
"269",269,2008-09-17,81.712473,25.481612,12,10,"Kidnap"
"270",270,2011-10-22,81.715849,25.484468,10,5,"Pick"
"271",271,2015-11-23,81.715849,25.484468,3,1,"Violence and Offence"
"272",272,2011-09-15,81.71807,25.482031,11,29,"Kidnap"
"273",273,2009-09-05,81.715185,25.480913,16,3,"Hit And Run"
"274",274,2007-02-14,81.724422,25.483848,12,6,"Murder"
"275",275,2006-01-19,81.716546,25.483556,7,13,"Kidnap"
"276",276,2010-08-31,81.715771,25.481708,19,43,"Chain"
"277",277,2012-04-28,81.716436,25.480895,6,49,"Hit And Run"
"278",278,2011-11-20,81.715849,25.484468,6,3,"Murder"
"279",279,2009-09-17,81.716436,25.480895,10,46,"Pick"
"280",280,2010-10-26,81.71807,25.482031,16,36,"Robery"
"281",281,2010-05-08,81.707801,25.482341,18,41,"Chain"
"282",282,2015-05-03,81.716436,25.480895,12,10,"Violence and Offence"
"283",283,2013-06-03,81.718597,25.483491,11,46,"Pick"
"284",284,2013-04-17,81.71807,25.482031,2,14,"Kidnap"
"285",285,2010-09-16,81.715113,25.482171,7,39,"Murder"
"286",286,2013-03-09,81.71807,25.482031,15,0,"Hit And Run"
"287",287,2014-01-22,81.711337,25.481891,8,3,"Rape"
"288",288,2015-08-21,81.715771,25.481708,8,10,"Pick"
"289",289,2012-05-18,81.71807,25.482031,2,14,"Pick"
"290",290,2008-01-27,81.715185,25.480913,4,53,"Kidnap"
"291",291,2005-08-08,81.715185,25.480913,9,58,"Robery"
"292",292,2010-09-22,81.710706,25.482524,10,6,"Robery"
"293",293,2015-08-13,81.713333,25.482256,12,16,"Kidnap"
"294",294,2007-09-04,81.710706,25.482524,21,45,"Chain"
"295",295,2015-11-05,81.712473,25.481612,12,44,"Hit And Run"
"296",296,2009-02-11,81.712473,25.481612,10,6,"Pick"
"297",297,2011-08-05,81.713333,25.482256,22,50,"Chain"
"298",298,2010-05-28,81.713333,25.482256,22,16,"Violence and Offence"
"299",299,2007-05-27,81.711337,25.481891,20,13,"Pick"
"300",300,2013-06-29,81.711337,25.481891,19,32,"Murder"
"301",301,2005-09-28,81.710706,25.482524,10,45,"Rape"
"302",302,2008-08-21,81.710706,25.482524,7,38,"Hit And Run"
"303",303,2006-02-04,81.713333,25.482256,6,0,"Rape"
"304",304,2008-08-14,81.711918,25.483621,14,34,"Rape"
"305",305,2012-12-30,81.710706,25.482524,13,58,"Kidnap"
"306",306,2007-04-04,81.712473,25.481612,21,2,"Robery"
"307",307,2014-06-03,81.712473,25.481612,5,19,"Kidnap"
"308",308,2014-01-18,81.710706,25.482524,11,57,"Robery"
"309",309,2005-07-03,81.713333,25.482256,9,23,"Hit And Run"
"310",310,2005-07-30,81.712473,25.481612,11,18,"Hit And Run"
"311",311,2005-06-17,81.715185,25.480913,4,35,"Pick"
"312",312,2013-03-21,81.720894,25.483175,1,46,"Hit And Run"
"313",313,2011-11-18,81.715849,25.484468,4,20,"Hit And Run"
"314",314,2011-09-26,81.711572,25.480733,7,36,"Hit And Run"
"315",315,2010-09-18,81.721925,25.485816,9,32,"Chain"
"316",316,2014-11-30,81.723712,25.48467,18,4,"Violence and Offence"
"317",317,2005-03-28,81.720869,25.488029,2,47,"Chain"
"318",318,2007-07-23,81.720869,25.488029,5,44,"Murder"
"319",319,2014-07-02,81.721925,25.485816,11,52,"Hit And Run"
"320",320,2014-05-13,81.721925,25.485816,17,34,"Violence and Offence"
"321",321,2013-12-24,81.721925,25.485816,19,42,"Kidnap"
"322",322,2011-02-06,81.721925,25.485816,7,14,"Violence and Offence"
"323",323,2005-12-16,81.722498,25.485074,22,26,"Chain"
"324",324,2012-08-14,81.721925,25.485816,1,54,"Murder"
"325",325,2009-08-23,81.721925,25.485816,2,20,"Murder"
"326",326,2006-11-07,81.722947,25.488853,19,17,"Kidnap"
"327",327,2011-04-08,81.721925,25.485816,1,19,"Robery"
"328",328,2009-01-28,81.722279,25.484704,14,18,"Hit And Run"
"329",329,2007-08-17,81.721925,25.485816,9,6,"Chain"
"330",330,2007-09-02,81.723712,25.48467,1,22,"Murder"
"331",331,2012-07-13,81.721925,25.485816,12,58,"Robery"
"332",332,2005-04-23,81.723712,25.48467,9,29,"Pick"
"333",333,2012-03-27,81.704543,25.476788,2,46,"Kidnap"
"334",334,2013-11-09,81.704543,25.476788,8,18,"Robery"
"335",335,2010-02-17,81.702557,25.479488,15,41,"Rape"
"336",336,2005-07-14,81.701319,25.477465,0,2,"Pick"
"337",337,2007-05-28,81.702557,25.479488,14,36,"Chain"
"338",338,2008-02-10,81.703646,25.480027,16,4,"Chain"
"339",339,2009-01-03,81.704543,25.476788,1,7,"Murder"
"340",340,2014-01-31,81.704543,25.476788,22,46,"Rape"
"341",341,2011-10-05,81.699386,25.481244,22,41,"Pick"
"342",342,2014-06-26,81.703646,25.480027,19,1,"Kidnap"
"343",343,2014-08-02,81.701319,25.477465,4,12,"Kidnap"
"344",344,2005-11-04,81.70349,25.478812,20,12,"Murder"
"345",345,2006-07-18,81.702557,25.479488,17,5,"Hit And Run"
"346",346,2006-08-16,81.704708,25.478947,21,53,"Pick"
"347",347,2007-11-09,81.702557,25.479488,10,57,"Violence and Offence"
"348",348,2013-03-08,81.704543,25.476788,17,19,"Kidnap"
"349",349,2013-11-10,81.703646,25.480027,11,53,"Robery"
"350",350,2007-08-12,81.702554,25.478922,2,24,"Kidnap"
"351",351,2005-08-03,81.701319,25.477465,2,6,"Murder"
"352",352,2010-01-16,81.70029,25.480505,14,48,"Murder"
"353",353,2007-04-27,81.703646,25.480027,14,28,"Murder"
"354",354,2013-06-08,81.704708,25.478947,22,1,"Murder"
"355",355,2014-11-06,81.70141,25.48241,22,30,"Kidnap"
"356",356,2007-02-03,81.702557,25.479488,15,58,"Kidnap"
"357",357,2011-05-31,81.701289,25.486004,12,58,"Violence and Offence"
"358",358,2008-03-02,81.701289,25.486004,22,53,"Hit And Run"
"359",359,2011-12-05,81.701319,25.477465,12,33,"Hit And Run"
"360",360,2010-08-02,81.701319,25.477465,0,53,"Kidnap"
"361",361,2015-07-24,81.701319,25.477465,14,18,"Kidnap"
"362",362,2012-08-06,81.701319,25.477465,6,16,"Violence and Offence"
"363",363,2009-12-07,81.690769,25.468415,0,50,"Murder"
"364",364,2007-09-23,81.693339,25.465899,13,38,"Robery"
"365",365,2014-06-24,81.692717,25.466083,13,49,"Robery"
"366",366,2009-09-28,81.690769,25.468415,1,38,"Murder"
"367",367,2011-03-21,81.688185,25.466687,16,58,"Violence and Offence"
"368",368,2015-10-23,81.688856,25.465605,17,14,"Murder"
"369",369,2013-08-03,81.693564,25.467348,11,24,"Kidnap"
"370",370,2006-03-02,81.693339,25.465899,2,16,"Kidnap"
"371",371,2008-07-14,81.699288,25.483014,15,25,"Pick"
"372",372,2007-01-18,81.697991,25.485872,17,34,"Chain"
"373",373,2007-10-12,81.699288,25.483014,5,28,"Hit And Run"
"374",374,2014-11-29,81.696099,25.481318,6,43,"Robery"
"375",375,2007-08-22,81.699288,25.483014,13,23,"Pick"
"376",376,2007-06-26,81.697991,25.485872,1,17,"Robery"
"377",377,2005-01-14,81.699288,25.483014,6,9,"Robery"
"378",378,2010-09-17,81.697991,25.485872,19,49,"Rape"
"379",379,2007-04-23,81.697991,25.485872,22,53,"Violence and Offence"
"380",380,2010-04-09,81.697991,25.485872,3,30,"Kidnap"
"381",381,2014-07-25,81.696099,25.481318,14,13,"Kidnap"
"382",382,2010-02-18,81.693609,25.484292,22,42,"Pick"
"383",383,2012-06-08,81.697991,25.485872,5,12,"Chain"
"384",384,2011-05-07,81.697192,25.48378,9,45,"Rape"
"385",385,2009-12-01,81.697192,25.48378,9,17,"Pick"
"386",386,2014-04-13,81.697266,25.485974,4,48,"Murder"
"387",387,2007-05-15,81.695483,25.481952,20,50,"Hit And Run"
"388",388,2015-11-24,81.697192,25.48378,14,47,"Hit And Run"
"389",389,2014-10-07,81.697266,25.485974,3,11,"Murder"
"390",390,2006-10-13,81.696099,25.481318,13,43,"Rape"
"391",391,2007-12-03,81.698434,25.484895,12,55,"Robery"
"392",392,2013-08-14,81.698434,25.484895,12,49,"Hit And Run"
"393",393,2009-12-27,81.698434,25.484895,17,39,"Kidnap"
"394",394,2010-03-02,81.693609,25.484292,8,23,"Rape"
"395",395,2006-05-01,81.692946,25.470202,2,28,"Pick"
"396",396,2014-07-09,81.694367,25.479867,15,48,"Robery"
"397",397,2005-05-25,81.694367,25.479867,16,36,"Hit And Run"
"398",398,2008-12-09,81.684044,25.470089,0,48,"Robery"
"399",399,2007-04-13,81.692946,25.470202,19,22,"Pick"
"400",400,2006-11-30,81.692946,25.470202,19,55,"Hit And Run"
"401",401,2006-11-23,81.690969,25.481603,4,32,"Robery"
"402",402,2010-01-21,81.692946,25.470202,10,7,"Rape"
"403",403,2006-02-12,81.694367,25.479867,7,20,"Pick"
"404",404,2011-09-17,81.690907,25.469728,17,24,"Rape"
"405",405,2009-10-28,81.692268,25.480777,0,14,"Violence and Offence"
"406",406,2007-09-14,81.694367,25.479867,13,40,"Kidnap"
"407",407,2012-02-16,81.684044,25.470089,16,51,"Chain"
"408",408,2005-05-28,81.684044,25.470089,6,46,"Kidnap"
"409",409,2009-07-23,81.692435,25.480023,2,1,"Murder"
"410",410,2015-02-01,81.694367,25.479867,18,8,"Chain"
"411",411,2011-09-20,81.684044,25.470089,9,17,"Hit And Run"
"412",412,2011-06-26,81.690969,25.481603,1,19,"Violence and Offence"
"413",413,2006-11-04,81.684044,25.470089,8,40,"Kidnap"
"414",414,2014-06-08,81.684044,25.470089,16,9,"Rape"
"415",415,2012-09-26,81.684044,25.470089,18,39,"Kidnap"
"416",416,2012-03-14,81.696715,25.479965,6,2,"Kidnap"
"417",417,2013-01-30,81.696648,25.478895,10,8,"Violence and Offence"
"418",418,2013-04-11,81.695997,25.479025,2,18,"Hit And Run"
"419",419,2007-04-20,81.694235,25.472621,16,2,"Kidnap"
"420",420,2005-07-05,81.695997,25.479025,18,37,"Robery"
"421",421,2008-07-02,81.699697,25.47935,1,27,"Violence and Offence"
